pair_name,top_model_name,ranking_confidence,iptm,ptm,mean_plddt,pae_mean,pae_p10,pae_p50,pae_p90,inter_chain_pae_mean,n_residues,run_dir
ABK74088.1_and_ABK69524.1,model_3_multimer_v3_pred_0,0.30932958101233976,0.20271095633506775,0.7358040499191054,86.68284980993167,14.58063700502146,1.8,7.4,30.8,27.380281876366247,873,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69524.1
ABK74088.1_and_ABK69525.1,model_2_multimer_v3_pred_0,0.36522595544668457,0.2560478150844574,0.8019384721921095,87.38283727188396,11.484911038595264,1.7,4.6,27.4,25.49132348438431,786,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69525.1
ABK74088.1_and_ABK69526.1,model_4_multimer_v3_pred_0,0.30651664831725767,0.21361029148101807,0.6781420905633772,89.70954160674543,15.683662381389654,1.9,20.7,28.9,27.254037491471752,990,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69526.1
ABK74088.1_and_ABK69527.1,model_3_multimer_v3_pred_0,0.3258117528653359,0.20459848642349243,0.8106647888303874,89.20301163411756,11.465525533611928,1.7,4.4,29.2,27.174060686284584,766,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69527.1
ABK74088.1_and_ABK69528.1,model_4_multimer_v3_pred_0,0.250549743350577,0.1589634269475937,0.6168950089625103,91.29546119743824,17.013275856709466,2.1,24.9,30.5,29.163456688483564,1091,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69528.1
ABK74088.1_and_ABK69529.1,model_2_multimer_v3_pred_0,0.26917697233190113,0.16202305257320404,0.6977926066632059,87.66427931161115,15.984545695228894,1.9,12.5,30.5,28.91648177106003,928,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69529.1
ABK74088.1_and_ABK69530.1,model_3_multimer_v3_pred_0,0.2595457422573332,0.15569868683815002,0.6749339713846463,90.50368036368091,15.866630138504155,1.9,9.6,30.3,29.19661379044265,950,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69530.1
ABK74088.1_and_ABK69531.1,model_2_multimer_v3_pred_0,0.3692434699806231,0.3040313720703125,0.6300918616218651,91.05642060261796,16.91687623672321,2.0,20.1,30.7,29.781748352619566,1038,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69531.1
ABK74088.1_and_ABK69532.1,model_4_multimer_v3_pred_0,0.5993194256765205,0.5313640832901001,0.8711407952222021,88.49806087397137,9.094831240858571,1.6,3.8,29.8,21.751979813663326,734,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69532.1
ABK74088.1_and_ABK69533.1,model_3_multimer_v3_pred_0,0.3127716218398835,0.19183441996574402,0.7965204293364414,87.72409642338643,12.177067335224907,1.7,4.6,29.3,27.67299689440971,784,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69533.1
ABK74088.1_and_ABK69534.1,model_4_multimer_v3_pred_0,0.2636317923558633,0.14810200035572052,0.725750967807015,90.07044537241809,14.729483553945858,1.8,6.6,30.0,29.00787446249322,878,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69534.1
ABK74088.1_and_ABK69535.1,model_3_multimer_v3_pred_0,0.24404556635537797,0.13342610001564026,0.6865234093625869,93.20344384430112,15.84582895544193,1.8,7.7,30.7,30.128683881876633,925,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69535.1
ABK74088.1_and_ABK69536.1,model_2_multimer_v3_pred_0,0.2600856791993574,0.14851582050323486,0.7063651065332668,86.78363489843117,15.70777517816587,2.0,10.9,30.0,29.028968287147947,904,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69536.1
ABK74088.1_and_ABK69537.1,model_3_multimer_v3_pred_0,0.2541868344113838,0.15684866905212402,0.6435394809472614,89.35551907448351,16.81664093015686,2.1,19.3,30.5,29.550804155812337,1016,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69537.1
ABK74088.1_and_ABK69538.1,model_3_multimer_v3_pred_0,0.25313037484418105,0.19583484530448914,0.4823125079041099,74.95040695484596,22.856619222528312,2.7,29.8,31.5,30.088952771914954,1584,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69538.1
ABK74088.1_and_ABK69539.1,model_3_multimer_v3_pred_0,0.32633979552041853,0.2520054876804352,0.6236769970780295,86.5413835793978,17.015186134296783,2.5,22.7,29.9,27.475688941239586,1166,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69539.1
ABK74088.1_and_ABK69540.1,model_3_multimer_v3_pred_0,0.2858639229616359,0.17600522935390472,0.7252986824913994,88.96770748233654,14.499350322139437,1.8,7.0,29.4,27.85698692520313,882,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69540.1
ABK74088.1_and_ABK69541.1,model_3_multimer_v3_pred_0,0.35981802128150947,0.25160327553749084,0.7926770042575839,85.23305083557007,12.239050130285259,1.7,5.0,29.4,25.794171613334612,802,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69541.1
ABK74088.1_and_ABK69542.1,model_3_multimer_v3_pred_0,0.27732980194116486,0.1624567210674286,0.7368221105349488,89.96585506974088,14.255805588617779,1.9,6.2,29.6,28.6982460134964,852,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69542.1
ABK74088.1_and_ABK69543.1,model_1_multimer_v3_pred_0,0.28001134668807703,0.19107669591903687,0.6357499497642377,87.4299577724898,16.76386473650602,2.1,23.4,29.7,28.12512719703967,1067,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69543.1
ABK74088.1_and_ABK69544.1,model_4_multimer_v3_pred_0,0.2759747539145594,0.14979980885982513,0.7806745341334964,86.26019024761733,13.167049956156989,1.7,4.9,29.7,28.688282785596076,802,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69544.1
ABK74088.1_and_ABK69545.1,model_3_multimer_v3_pred_0,0.34629234299106115,0.22633777558803558,0.826110597702002,87.30365321827888,11.018677271848809,1.7,4.3,29.9,26.93669530388435,751,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69545.1
ABK74088.1_and_ABK69546.1,model_3_multimer_v3_pred_0,0.398342368706788,0.281628280878067,0.8651987349228332,87.30413954417729,8.971861389029163,1.6,3.8,27.7,24.911260047497326,712,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69546.1
ABK74088.1_and_ABK69547.1,model_3_multimer_v3_pred_0,0.30570134692194717,0.18714848160743713,0.7799127783776649,89.87179339391751,12.749209867191603,1.7,4.9,30.0,28.1270908335644,801,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69547.1
ABK74088.1_and_ABK69548.1,model_2_multimer_v3_pred_0,0.29244597051653587,0.18514853715896606,0.7216356592433313,86.47978016912418,14.995848888142062,1.9,8.2,30.0,28.270551772307545,893,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69548.1
ABK74088.1_and_ABK69549.1,model_1_multimer_v3_pred_0,0.6521859429711061,0.6020801067352295,0.85260925811229,89.4381893660518,10.339165526472339,1.7,5.2,30.0,18.54672236730556,820,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69549.1
ABK74088.1_and_ABK69550.1,model_4_multimer_v3_pred_0,0.3638070257673621,0.28047066926956177,0.6971524070550797,84.45082259905067,15.36569508617604,2.0,20.0,28.5,26.088685708838714,986,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69550.1
ABK74088.1_and_ABK69551.1,model_2_multimer_v3_pred_0,0.2285701428834395,0.1518896520137787,0.5352921138126633,88.9229880154262,19.208484345892675,2.7,29.2,31.2,30.699440777460783,1290,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69551.1
ABK74088.1_and_ABK69552.1,model_1_multimer_v3_pred_0,0.24954685600885196,0.1748506724834442,0.5483315901104829,90.21879657211149,18.36291587500131,2.4,27.5,30.6,29.911621399443582,1273,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69552.1
ABK74088.1_and_ABK69553.1,model_3_multimer_v3_pred_0,0.31520427628636577,0.21001319587230682,0.7359685681402791,89.41335293148002,14.175427226776808,1.8,6.5,29.8,27.713332298136844,869,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69553.1
ABK74088.1_and_ABK69554.1,model_3_multimer_v3_pred_0,0.2517805855682226,0.16560709476470947,0.5964745636834361,86.73564028421183,17.994320402103668,2.2,27.2,30.8,29.79325040164015,1135,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69554.1
ABK74088.1_and_ABK69555.1,model_3_multimer_v3_pred_0,0.4679922071473953,0.3613366484642029,0.8946144120778428,89.37753690327204,7.638701561424236,1.5,3.4,26.8,24.20386535048849,686,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69555.1
ABK74088.1_and_ABK69556.1,model_4_multimer_v3_pred_0,0.2462808390313006,0.1541081815958023,0.6149714687732937,85.55991386690575,18.08985016731635,2.2,27.1,30.8,29.781385483938948,1097,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69556.1
ABK74088.1_and_ABK69557.1,model_4_multimer_v3_pred_0,0.28013416405182107,0.14919975399971008,0.8038717893591037,90.78560932262526,11.894004283015471,1.7,4.3,29.7,28.79061781679523,771,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69557.1
ABK74088.1_and_ABK69559.1,model_4_multimer_v3_pred_0,0.4417540849705365,0.3275805115699768,0.898448289165808,89.65558988678264,7.457637103224086,1.5,3.3,25.6,24.854664514546958,682,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69559.1
ABK74088.1_and_ABK69560.1,model_2_multimer_v3_pred_0,0.2372258964336711,0.14555624127388,0.6039044947210935,88.51714579693397,18.374421212143467,2.2,27.7,30.6,29.9632086513847,1107,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69560.1
ABK74088.1_and_ABK69561.1,model_3_multimer_v3_pred_0,0.4841627064446903,0.38250672817230225,0.89078658973192,88.6557538299078,7.7629648090709376,1.5,3.4,25.9,23.315831901678678,691,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69561.1
ABK74088.1_and_ABK69562.1,model_4_multimer_v3_pred_0,0.25346722486529116,0.13094259798526764,0.7435657100336435,91.95494659770864,14.30506157047994,1.8,5.5,30.5,29.956711741940595,843,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69562.1
ABK74088.1_and_ABK69563.1,model_4_multimer_v3_pred_0,0.23846758948052332,0.14987945556640625,0.5928201251369916,89.47428174735438,17.71791845983754,2.1,27.8,30.6,29.8450896723656,1146,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69563.1
ABK74088.1_and_ABK69564.1,model_2_multimer_v3_pred_0,0.25500730537217353,0.17133504152297974,0.5896963607689486,92.19351515044147,17.341044042854747,2.0,26.4,30.4,29.45563224787234,1163,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69564.1
ABK74088.1_and_ABK69565.1,model_4_multimer_v3_pred_0,0.25445551534844413,0.14331400394439697,0.6990215609646326,91.15774136943499,15.656452635246746,1.9,7.8,30.7,29.79269020317065,917,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69565.1
ABK74088.1_and_ABK69566.1,model_4_multimer_v3_pred_0,0.3497963495386166,0.22645129263401031,0.8431765920582027,86.68383341906309,10.133246190412192,1.6,3.9,28.6,26.358793327990778,737,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69566.1
ABK74088.1_and_ABK69567.1,model_4_multimer_v3_pred_0,0.2811384776944533,0.17867116630077362,0.6910077381703331,85.5068129212957,16.56862235143652,2.0,22.9,30.4,28.536250250453257,954,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69567.1
ABK74088.1_and_ABK69568.1,model_4_multimer_v3_pred_0,0.27742238757408977,0.17153224349021912,0.7009829788107336,82.02674228843223,16.561341657995143,1.9,24.6,30.2,28.597679494419832,930,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69568.1
ABK74088.1_and_ABK69569.1,model_1_multimer_v3_pred_0,0.25614588877860145,0.15481287240982056,0.6614779393525638,88.20725830352964,16.56008895787076,1.9,21.1,30.4,29.134066195244024,987,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69569.1
ABK74088.1_and_ABK69570.1,model_1_multimer_v3_pred_0,0.2974275118212047,0.1871773898601532,0.7384279698630882,84.59193867082433,14.664761554036644,1.8,7.1,30.1,28.11593368062573,861,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69570.1
ABK74088.1_and_ABK69571.1,model_1_multimer_v3_pred_0,0.2534875694209907,0.17226439714431763,0.5783802138241996,92.85956847469859,17.799341126762876,2.0,29.0,31.3,30.80741194774814,1157,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69571.1
ABK74088.1_and_ABK69572.1,model_1_multimer_v3_pred_0,0.4829051080139592,0.4014422595500946,0.8087564422647727,89.12963765102259,11.758668339498971,1.7,5.5,29.8,22.355744915020995,826,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69572.1
ABK74088.1_and_ABK69573.1,model_1_multimer_v3_pred_0,0.2637225836468595,0.1612231284379959,0.6737203895811529,88.93278647289418,16.114833746983358,1.9,16.9,30.2,28.803668357703472,966,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69573.1
ABK74088.1_and_ABK69574.1,model_1_multimer_v3_pred_0,0.25275467568514853,0.1663152277469635,0.5985124525367274,85.33405990239389,18.070874858097298,2.4,27.3,30.7,29.821093359799864,1129,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69574.1
ABK74088.1_and_ABK69575.1,model_4_multimer_v3_pred_0,0.2534118110526697,0.16500025987625122,0.6070580157583436,91.47246754418127,17.627834109042553,2.4,24.1,31.2,30.616746533304383,1504,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69575.1
ABK74088.1_and_ABK69576.1,model_5_multimer_v3_pred_0,0.2698518140379943,0.18721196055412292,0.6004111981711573,89.90389856086922,17.790426661967516,2.2,27.0,31.0,30.40527475657086,1102,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69576.1
ABK74088.1_and_ABK69577.1,model_3_multimer_v3_pred_0,0.2498657767478689,0.15081971883773804,0.6460500083883923,89.03227462978448,16.906693769945612,2.0,17.9,30.9,29.83759465667234,1009,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69577.1
ABK74088.1_and_ABK69578.1,model_3_multimer_v3_pred_0,0.321482875850305,0.20823130011558533,0.7744891638880222,86.53437131597683,13.148924241878124,1.8,5.6,29.4,27.217398978043814,816,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69578.1
ABK74088.1_and_ABK69579.1,model_3_multimer_v3_pred_0,0.36538685949607286,0.253913938999176,0.8112785265824991,86.08202502945473,11.665773736448262,1.7,4.7,29.8,26.013815274901503,779,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69579.1
ABK74088.1_and_ABK69580.1,model_4_multimer_v3_pred_0,0.3085604816607085,0.18740668892860413,0.7931756525891259,79.16683379435935,13.10954510495113,1.7,4.8,31.2,28.595747362377242,790,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69580.1
ABK74088.1_and_ABK69581.1,model_5_multimer_v3_pred_0,0.2793416590329112,0.17377425730228424,0.7016112212519354,69.69636967040644,17.628167202347356,1.9,22.3,31.4,29.213935784773284,926,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69581.1
ABK74088.1_and_ABK69582.1,model_4_multimer_v3_pred_0,0.27798845395873373,0.14749303460121155,0.7999701313888226,81.17575159358698,12.929443883515782,1.6,4.3,31.3,30.125042348954707,776,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69582.1
ABK74088.1_and_ABK69583.1,model_4_multimer_v3_pred_0,0.25001499801480487,0.14165876805782318,0.6834398954909899,90.13876351164359,16.047671789703536,1.9,11.3,30.3,29.56467649243724,945,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69583.1
ABK74088.1_and_ABK69584.1,model_4_multimer_v3_pred_0,0.2507065270443477,0.15203729271888733,0.645383464346189,91.92043221898592,16.722265237512595,2.0,15.9,30.8,30.042179767167845,1018,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69584.1
ABK74088.1_and_ABK69585.1,model_3_multimer_v3_pred_0,0.36750073748243073,0.24442869424819946,0.8597888806170335,86.34304885707003,9.501271064599736,1.6,3.7,29.8,27.17175662671608,715,/groups/sea/home/rande/apd/ptsS/results/ABK74088.1_and_ABK69585.1
