pair_name,top_model_name,ranking_confidence,iptm,ptm,mean_plddt,pae_mean,pae_p10,pae_p50,pae_p90,inter_chain_pae_mean,n_residues,run_dir
Waterfoul_SEA_WATERFOUL_47_and_ABK69524.1,model_1_multimer_v3_pred_0,0.22143050377546641,0.15811294317245483,0.4747007461875128,64.71847959367065,22.389155307929556,2.5,27.4,31.3,27.270672027207958,437,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69524.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69525.1,model_2_multimer_v3_pred_0,0.21575322443383177,0.15372398495674133,0.46387018979277406,55.18644023408441,20.97775020408163,2.8,25.3,29.4,25.12899173889506,350,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69525.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69526.1,model_1_multimer_v3_pred_0,0.266253173334576,0.17976060509681702,0.612223446285612,71.34110624345706,18.762795683509495,2.0,25.0,30.6,26.68796340040028,554,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69526.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69527.1,model_4_multimer_v3_pred_0,0.18008276025677522,0.12733091413974762,0.3910901372743051,55.93784422538838,22.766603305785125,3.4,27.0,29.8,26.459313918663224,330,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69527.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69528.1,model_1_multimer_v3_pred_0,0.393819093132022,0.31826263666152954,0.6960448594093471,74.9148548197784,16.340469436513025,2.2,19.4,30.1,26.726292806745523,655,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69528.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69529.1,model_2_multimer_v3_pred_0,0.2321048050676478,0.156213641166687,0.5356694606714909,63.48994465357119,20.8059360334457,2.3,26.1,31.1,27.37812838569842,492,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69529.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69530.1,model_4_multimer_v3_pred_0,0.2475113462086857,0.15441656112670898,0.6198904865365925,65.67965761793263,18.49206157549698,2.1,25.0,29.9,27.08926360608369,514,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69530.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69531.1,model_5_multimer_v3_pred_0,0.33984283101884016,0.2536448836326599,0.684634620563561,73.11284468272972,16.243248970761915,2.0,21.6,29.7,26.023763910581856,602,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69531.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69532.1,model_4_multimer_v3_pred_0,0.154732466564739,0.12291538715362549,0.28200079165977354,41.677220412072494,24.542391108508625,11.5,26.9,30.6,27.463910256410415,298,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69532.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69533.1,model_4_multimer_v3_pred_0,0.5216191391837439,0.5390745401382446,0.45179753536574113,58.4375251540955,21.62754079138592,2.8,25.8,30.5,24.49678743131884,348,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69533.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69534.1,model_3_multimer_v3_pred_0,0.2439469852971722,0.16776123642921448,0.5486899658678419,66.78664322022482,20.092947011731948,2.4,26.1,30.0,27.07578690006575,442,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69534.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69535.1,model_3_multimer_v3_pred_0,0.22736898415036783,0.13301587104797363,0.6047814142082029,74.41276446753564,18.955881750243602,1.6,26.2,30.5,27.940439364905757,489,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69535.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69536.1,model_3_multimer_v3_pred_0,0.20489085600706802,0.13387000560760498,0.4889742352531783,62.947944625067926,21.535762290890496,4.7,26.6,30.5,28.122861501478965,468,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69536.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69537.1,model_4_multimer_v3_pred_0,0.2641620385126129,0.16967186331748962,0.6421227243919445,66.70990827854614,17.659479488703926,2.3,23.8,29.7,26.854366340983848,580,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69537.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69538.1,model_3_multimer_v3_pred_0,0.32169112566205504,0.2636197507381439,0.5539765955553773,60.00745186397447,23.188287234882054,2.7,29.5,31.4,28.633943586344152,1148,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69538.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69539.1,model_3_multimer_v3_pred_0,0.28310250622212263,0.1932554543018341,0.6424907288044377,66.00137266330292,17.693961718896603,3.8,21.8,29.8,27.301449215296373,730,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69539.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69540.1,model_5_multimer_v3_pred_0,0.23753904270098672,0.15821576118469238,0.554832168766164,63.84112117141079,19.881436385207824,2.2,25.2,29.8,26.44703559308335,446,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69540.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69541.1,model_2_multimer_v3_pred_0,0.1943176457835411,0.1392017900943756,0.41478104618846123,54.75008382078817,22.644166741318045,3.6,26.6,30.5,26.83119370740047,366,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69541.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69542.1,model_2_multimer_v3_pred_0,0.21285601711720809,0.1417495310306549,0.49728196146342074,64.99524476132709,21.441367534208577,2.3,27.4,29.9,27.902811806582783,416,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69542.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69543.1,model_3_multimer_v3_pred_0,0.29868892113186796,0.20768731832504272,0.662695332359169,68.50572788006421,16.828386506965774,2.6,20.9,29.7,26.004458196944643,631,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69543.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69544.1,model_1_multimer_v3_pred_0,0.17226122293801013,0.13487495481967926,0.3218062954113336,59.27153558940505,23.59121651885694,4.7,27.4,30.0,27.447229491236566,366,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69544.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69545.1,model_4_multimer_v3_pred_0,0.1523120877004148,0.12594100832939148,0.25779639773392743,45.68309252283289,24.676520030234318,10.4,27.6,30.6,27.640535136592334,315,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69545.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69546.1,model_5_multimer_v3_pred_0,0.15844615423294614,0.12599463760852814,0.2882522281811988,50.079417267549324,24.91879988447805,10.2,28.3,30.6,28.541109304298697,276,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69546.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69547.1,model_4_multimer_v3_pred_0,0.26006492766066536,0.21225321292877197,0.4513117567859166,57.06606329721376,22.076727340964535,2.5,27.1,30.0,26.445787910337785,365,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69547.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69548.1,model_4_multimer_v3_pred_0,0.3177496648900061,0.2603396773338318,0.5473896151147034,60.11708899012706,20.035304454414433,2.5,24.9,29.2,25.797702347853342,457,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69548.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69549.1,model_1_multimer_v3_pred_0,0.1742274719781028,0.12310867011547089,0.3787026719780498,59.35922664696912,23.99114244249132,3.5,28.0,30.9,28.148623251747328,384,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69549.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69550.1,model_4_multimer_v3_pred_0,0.24928395335848802,0.166297048330307,0.5812315585700509,59.09041414326521,19.958600991735537,3.4,25.4,29.6,27.167443347953448,550,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69550.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69551.1,model_1_multimer_v3_pred_0,0.31370650109835135,0.2180497795343399,0.6963333426509135,76.87609339274454,16.700604401932768,3.8,14.2,30.4,27.78884332579234,854,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69551.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69552.1,model_4_multimer_v3_pred_0,0.28865431107051553,0.1830311417579651,0.7111469585183949,75.9914661216499,16.453024327368183,2.4,18.9,30.4,28.2690622324814,837,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69552.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69553.1,model_4_multimer_v3_pred_0,0.23714464886455922,0.15948116779327393,0.5477985731497004,60.69630222707942,19.647958546901418,2.1,25.1,28.9,25.78421260683754,433,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69553.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69554.1,model_2_multimer_v3_pred_0,0.29628653347500733,0.1970626413822174,0.693182101846167,69.82059581559196,16.610219790790442,2.4,19.8,29.8,26.92334276594093,699,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69554.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69555.1,model_5_multimer_v3_pred_0,0.2063670958867978,0.18495120108127594,0.29203067510888525,47.413000812119776,23.227787199999998,8.6,26.4,29.6,25.30792696886449,250,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69555.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69556.1,model_1_multimer_v3_pred_0,0.3142865122409534,0.23040926456451416,0.6497955178478714,68.94197160275901,17.55702907390581,3.0,21.0,29.8,25.963147393445066,661,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69556.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69557.1,model_1_multimer_v3_pred_0,0.20387580987095485,0.15138180553913116,0.4138518122970884,70.06090978431439,22.640466919135665,2.3,27.8,30.3,27.81020972138046,335,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69557.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69559.1,model_4_multimer_v3_pred_0,0.1973183300166919,0.16828085482120514,0.31346820099631667,49.39170667513839,23.362918897481656,8.2,26.3,29.8,25.069053643724676,246,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69559.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69560.1,model_1_multimer_v3_pred_0,0.23995021446820067,0.14761078357696533,0.6093079454837226,71.72849909850878,19.56330609606855,2.5,25.9,30.2,28.593998172453556,671,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69560.1
Waterfoul_SEA_WATERFOUL_47_and_ABK69562.1,model_4_multimer_v3_pred_0,0.18992009184064373,0.11112025380134583,0.5051194216460935,66.12660317116126,21.673634612946653,2.5,27.9,30.6,28.561829580595127,407,runs/Waterfoul_gp47_full/Waterfoul_SEA_WATERFOUL_47_and_ABK69562.1
