,complex_name,avg_n_models,max_n_models,num_contacts_with_max_n_models,num_unique_contacts,max_iptm,max_ptm,best_model_num,best_pdockq,best_plddt_avg,best_pae_avg,protID,gene_name,product,locus,vulnerability,membrane,tmr,ipc,dataset
0,ABK70300.1_homo_2er,4.8,5,308,332,0.88,0.9,5,0.618,95.9,1.5,ABK70300.1,dnaN,"DNA polymerase III, beta subunit",MSMEG_0001,-3.998,G,0,4.622,dnaN
1,ABK70300.1_and_ABK73328.1,4.6,5,188,231,0.83,0.75,3,0.296,86.4,3.5,ABK73328.1,na,ATPase,MSMEG_5044,0.606,G,0,5.156,dnaN
2,ABK70300.1_and_ABK71608.1,4.6,5,198,246,0.77,0.67,3,0.352,88.4,6.9,ABK71608.1,na,DEAD/DEAH box helicase,MSMEG_1930,-0.737,G,0,6.02,dnaN
3,ABK70300.1_and_ABK72022.1,4.6,5,202,238,0.84,0.83,3,0.355,87.7,2.7,ABK72022.1,na,DNA polymerase III alpha subunit,MSMEG_3178,-5.781,G,0,5.321,dnaN
4,ABK70300.1_and_ABK69524.1,4.6,5,202,241,0.79,0.83,2,0.361,85.6,3.3,ABK69524.1,na,LppI protein,MSMEG_3851,0.313,G,0,4.482,dnaN
5,ABK70300.1_and_ABK71454.1,4.6,5,137,160,0.85,0.89,2,0.235,91.8,2.6,ABK71454.1,na,two-component system response regulator,MSMEG_2064,0.127,G,0,4.66,dnaN
6,ABK70300.1_and_ABK70679.1,4.5,5,62,94,0.52,0.86,1,0.161,80.1,3.9,ABK70679.1,na,hypothetical protein,MSMEG_6640,-0.386,G,0,8.097,dnaN
7,ABK70300.1_and_ABK73063.1,4.4,5,168,231,0.74,0.81,1,0.241,83.9,3.8,ABK73063.1,na,conserved hypothetical protein,MSMEG_6158,0.249,G,0,6.338,dnaN
8,ABK70300.1_and_ABK72015.1,4.4,5,381,530,0.78,0.83,5,0.599,87.3,2.7,ABK72015.1,na,DNA polymerase III subunit delta,MSMEG_6153,-0.76,G,0,6.173,dnaN
9,ABK70300.1_and_ABK72082.1,4.4,5,123,161,0.72,0.74,1,0.184,84.2,3.8,ABK72082.1,na,TnpC protein,MSMEG_1591,,G,0,9.355,dnaN
10,ABK70300.1_and_ABK73106.1,4.4,5,246,306,0.78,0.86,2,0.357,84.4,4.4,ABK73106.1,edd,phosphogluconate dehydratase,MSMEG_0313,0.209,G,0,5.397,dnaN
