pair_name,top_model_name,ranking_confidence,iptm,ptm,mean_plddt,pae_mean,pae_p10,pae_p50,pae_p90,inter_chain_pae_mean,n_residues,run_dir
ABK70312.1_and_ABK69524.1,model_2_multimer_v3_pred_0,0.6706928074135917,0.6294198036193848,0.8357847033811301,87.41424546740728,12.23604392950485,3.2,9.6,27.7,20.67633553852886,1398,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69524.1
ABK70312.1_and_ABK69525.1,model_2_multimer_v3_pred_0,0.34552154046356587,0.22830700874328613,0.814379682245846,86.2901760505579,12.96064340867424,3.2,8.7,29.4,28.98249256015201,1311,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69525.1
ABK70312.1_and_ABK69526.1,model_2_multimer_v3_pred_0,0.4378149830737368,0.3540811538696289,0.7727502402855236,88.51203583315365,14.966570641222539,3.3,11.6,28.7,26.01720642117717,1515,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69526.1
ABK70312.1_and_ABK69527.1,model_3_multimer_v3_pred_0,0.4048051384423669,0.2977137565612793,0.8331706361643947,88.71946372780285,12.164165368177834,3.0,8.4,28.3,26.55280364329933,1291,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69527.1
ABK70312.1_and_ABK69528.1,model_2_multimer_v3_pred_0,0.3307293567865609,0.23600611090660095,0.7096223105040784,89.92234908029556,16.90247555386727,3.2,13.1,30.4,29.418072675364066,1616,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69528.1
ABK70312.1_and_ABK69529.1,model_2_multimer_v3_pred_0,0.325985798581941,0.21751004457473755,0.7598887848084324,86.73042531045746,15.53930041980685,3.3,10.8,30.4,29.428836642603752,1453,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69529.1
ABK70312.1_and_ABK69531.1,model_3_multimer_v3_pred_0,0.2875436191937707,0.18047142028808594,0.7158323850141872,88.77219599094495,16.88202822057914,3.3,12.6,30.7,30.094002965786316,1563,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69531.1
ABK70312.1_and_ABK69532.1,model_3_multimer_v3_pred_0,0.3687641063785322,0.24932008981704712,0.846540127920989,84.78151461070775,11.52239557473719,2.9,7.7,29.2,27.96299448721547,1259,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69532.1
ABK70312.1_and_ABK69533.1,model_2_multimer_v3_pred_0,0.38734945289317557,0.27987778186798096,0.8172361369939538,85.26355320896683,12.95387704911814,3.1,8.8,29.7,28.843607784423146,1309,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69533.1
ABK70312.1_and_ABK69534.1,model_1_multimer_v3_pred_0,0.31689113233321187,0.20143237709999084,0.7787261085626123,88.18477286294072,14.376636664433052,3.1,9.0,30.5,29.777619120737548,1403,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69534.1
ABK70312.1_and_ABK69535.1,model_3_multimer_v3_pred_0,0.3266990311877761,0.21727368235588074,0.7644004265153574,89.36057184274769,15.075530986920333,2.9,10.1,30.6,29.28358712163764,1450,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69535.1
ABK70312.1_and_ABK69536.1,model_2_multimer_v3_pred_0,0.3691084276332002,0.26722976565361023,0.7766230606503988,86.23545244948589,15.020725538811414,3.4,10.6,29.8,28.697446535501875,1429,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69536.1
ABK70312.1_and_ABK69537.1,model_4_multimer_v3_pred_0,0.3591991803235677,0.26893216371536255,0.7202672169540658,87.45515749265545,16.691106763392643,3.6,13.1,30.3,29.065280039000207,1541,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69537.1
ABK70312.1_and_ABK69539.1,model_1_multimer_v3_pred_0,0.31753679858492756,0.2244817018508911,0.689757155718751,84.7502581313394,17.74089752650918,3.9,15.5,30.7,29.415125905831662,1691,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69539.1
ABK70312.1_and_ABK69540.1,model_1_multimer_v3_pred_0,0.32769989072166694,0.21497276425361633,0.7786083518903858,87.90192104807551,14.46038525011252,3.2,9.3,30.3,29.52945902912041,1407,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69540.1
ABK70312.1_and_ABK69542.1,model_3_multimer_v3_pred_0,0.3450991683045739,0.23392069339752197,0.7898130381304591,87.297452310718,14.229549149873241,3.2,9.7,29.9,28.64456965190569,1377,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69542.1
ABK70312.1_and_ABK69543.1,model_2_multimer_v3_pred_0,0.3763515448857582,0.2886526584625244,0.727147060776371,87.13205170709927,16.437533813855712,3.3,12.7,29.9,28.46395870872057,1592,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69543.1
ABK70312.1_and_ABK69544.1,model_3_multimer_v3_pred_0,0.3443497511099075,0.22712095081806183,0.8132649671784512,85.46106584544268,13.232210895498909,3.1,8.8,30.0,28.63144497623366,1327,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69544.1
ABK70312.1_and_ABK69545.1,model_3_multimer_v3_pred_0,0.3760787989976032,0.2611718773841858,0.8357064407477892,87.09952884693898,12.139468091901614,3.1,8.3,29.2,27.868219901984784,1276,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69545.1
ABK70312.1_and_ABK69546.1,model_4_multimer_v3_pred_0,0.3554503433949776,0.23233982920646667,0.847892370346699,85.53219774228948,11.362332984134431,3.0,8.1,28.2,28.250908267497504,1237,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69546.1
ABK70312.1_and_ABK69547.1,model_2_multimer_v3_pred_0,0.38524969242215146,0.27719372510910034,0.8174735467731948,87.82350285947084,13.002729719338717,3.1,8.8,29.1,28.047559566944614,1326,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69547.1
ABK70312.1_and_ABK69548.1,model_1_multimer_v3_pred_0,0.34510138288443104,0.23709926009178162,0.7771098442527065,87.36736754297482,14.591026267155511,3.1,9.4,30.2,29.452090139856065,1418,/groups/sea/home/rande/apd/rpoB/results/ABK70312.1_and_ABK69548.1
